Cartridge,Type,FPS,Energy,Power,Recoil,Length,FPS Norm,Energy Norm,Power Norm,Recoil Norm,Length Norm,Score,Ranking
.22-250 Remington,rifle,3787,1624,1.93,0.9,1.912,0.8966810967,0.3142114731,0.1604226705,0.1634819533,0.5270413574,0.4338036628,55
.30-30 Winchester,rifle,2373,1888,3.58,1.6,2.04,0.4886002886,0.3669798121,0.3189241114,0.3121019108,0.5722870272,0.4319682415,56
.224 Weatherby Magnum,rifle,3650,1627,2.01,0.9,1.92,0.8571428571,0.3148111133,0.1681075889,0.1634819533,0.5298692117,0.4279570729,57
.35 Remington,rifle,2120,1876,3.99,1.87,1.92,0.4155844156,0.3645812512,0.358309318,0.3694267516,0.5298692117,0.4246388574,58
.225 Winchester,rifle,3570,1556,1.96,0.9,1.927,0.8340548341,0.3006196282,0.1633045149,0.1634819533,0.5323435843,0.4219421705,59
.243 Winchester Super Shor,rifle,3198,2228,2.55,1.37,1.67,0.7266955267,0.4349390366,0.2199807877,0.2632696391,0.4414987628,0.4200971658,60
.223 Winchester Super Shor,rifle,3766,1826,2.18,0.95,1.67,0.8906204906,0.3545872477,0.1844380403,0.1740976645,0.4414987628,0.4172225739,61
.250 Savage,rifle,2820,1765,2.82,1.27,1.912,0.6176046176,0.3423945633,0.2459173871,0.2420382166,0.5270413574,0.4132699493,62
.204 Ruger,rifle,3935,1272,1.46,0.6,1.84,0.9393939394,0.2438536878,0.1152737752,0.09978768577,0.5015906681,0.4049793448,63
.222 Remington Magnum,rifle,3525,1241,1.59,0.79,1.85,0.8210678211,0.2376574056,0.1277617675,0.1401273885,0.505125486,0.3937130628,64
.17 Remington,rifle,4145,877,0.95,0.45,1.796,1,0.1649010594,0.06628242075,0.06794055202,0.4860374691,0.3892288478,65
6.8mm Remington SPC,rifle,2600,1696,2.94,1.41,1.686,0.5541125541,0.3286028383,0.2574447646,0.2717622081,0.4471544715,0.3843864028,66
.25-35 Winchester,rifle,2230,1292,2.61,1.18,2.043,0.4473304473,0.2478512892,0.2257444765,0.2229299363,0.5733474726,0.3758496157,67
.223 Remington (5.56x45mm,rifle,3148,1254,1.79,0.8,1.76,0.7122655123,0.2402558465,0.1469740634,0.1422505308,0.4733121244,0.3660810666,68
.222 Remington,rifle,3167,1091,1.55,0.74,1.7,0.7177489177,0.2076753948,0.1239193084,0.1295116773,0.4521032167,0.3509141036,69
.38-55 Winchester,rifle,1320,986,3.37,1.51,2.085,0.1847041847,0.1866879872,0.2987512008,0.2929936306,0.588193708,0.3501288358,70
7.62x39mm Russian,rifle,2363,1587,3.02,1.29,1.528,0.4857142857,0.3068159105,0.265129683,0.2462845011,0.3913043478,0.3465563303,71
.221 Remington Fireball,rifle,3097,958,1.39,0.67,1.4,0.6975468975,0.1810913452,0.1085494717,0.1146496815,0.346058678,0.3063809586,72
.44 Remington Magnum (Pist,handgun,1317,897,6.14,1.45,1.285,0.1838383838,0.1688986608,0.5648414986,0.2802547771,0.3054082715,0.3000699433,73
.41 Remington Magnum,handgun,1276,763,5.38,1.23,1.29,0.172005772,0.1421147312,0.4918347743,0.2335456476,0.3071756805,0.2729269597,74
.218 Bee,rifle,2760,778,1.27,0.56,1.345,0.6002886003,0.1451129322,0.09702209414,0.09129511677,0.3266171792,0.2699312604,75
.30 M1 Carbine,rifle,1987,964,2.19,0.99,1.29,0.3772005772,0.1822906256,0.1853986551,0.1825902335,0.3071756805,0.2592792388,76
.22 Hornet,rifle,2719,706,1.17,0.54,1.017,0.5884559885,0.1307215671,0.08741594621,0.08704883227,0.2106751502,0.2288404995,77
.357 Magnum,handgun,1294,528,3.68,0.89,1.29,0.1772005772,0.09514291425,0.3285302594,0.161358811,0.3071756805,0.2267263527,78
.44-40 Winchester,rifle,1060,499,2.12,1.07,1.305,0.1096681097,0.08934639216,0.1786743516,0.1995753715,0.3124779074,0.201306629,79
.327 Federal Magnum,handgun,1427,452,2.86,0.67,1.2,0.2155844156,0.07995202878,0.2497598463,0.1146496815,0.2753623188,0.199847179,80
10mm Auto,handgun,1199,546,4.1,0.96,0.992,0.1497835498,0.09874075555,0.3688760807,0.1762208068,0.2018381053,0.1997688309,81
.25-20 Winchester,rifle,1460,407,1.26,0.57,1.33,0.2251082251,0.07095742554,0.09606147935,0.09341825902,0.3213149523,0.1862756599,82
.44 Smith & Wesson Special,handgun,911,361,3.58,0.81,1.16,0.06666666667,0.06176294223,0.3189241114,0.144373673,0.261223047,0.1818085766,83
.17 Hornady Magnum Rimfire,rifle,2483,246,0.45,0.19,1.06,0.5203463203,0.03877673396,0.01825168108,0.0127388535,0.2258748674,0.1816318632,84
.357 SIG,handgun,1379,515,3.36,0.76,0.865,0.2017316017,0.09254447332,0.297790586,0.1337579618,0.1569459173,0.1747926212,85
.45 Auto (.45 ACP),handgun,937,403,3.88,0.93,0.898,0.07417027417,0.07015790526,0.3477425552,0.16985138,0.1686108165,0.1670573186,86
.32-20 Winchester,rifle,1210,325,1.21,0.55,1.315,0.152958153,0.05456725964,0.09125840538,0.08917197452,0.3160127253,0.1668339286,87
.22 Winchester Magnum Rimf,rifle,2000,342,0.54,0.34,1.055,0.380952381,0.05796522087,0.02689721422,0.04458598726,0.2241074585,0.1644003148,88
.40 Smith & Wesson,handgun,1074,423,3.54,0.74,0.85,0.1137085137,0.0741555067,0.3150816523,0.1295116773,0.1516436903,0.1552905277,89
.45 GAP (Glock Automatic P,handgun,959,414,3.9,0.92,0.76,0.08051948052,0.07235658605,0.3496637848,0.1677282378,0.1198303287,0.1536702805,90
.38 Special (.38 Smith & W,handgun,876,235,2.42,0.53,1.155,0.05656565657,0.03657805317,0.2074927954,0.08492569002,0.259455638,0.1451629699,91
9mm Luger (9mm Parabellum),handgun,1138,357,2.82,0.65,0.754,0.1321789322,0.06096342195,0.2459173871,0.110403397,0.117709438,0.1323334173,92
.30 Luger (7.65mm),handgun,1210,296,2.2,0.52,0.85,0.152958153,0.04877073756,0.1863592699,0.08280254777,0.1516436903,0.1296163389,93
.32 H&R Magnum,handgun,998,197,1.78,0.42,1.075,0.09177489177,0.02898261043,0.1460134486,0.06157112527,0.2311770944,0.1279011663,94
.17 Mach 2,rifle,2078,163,0.35,0.17,0.714,0.4034632035,0.02218668799,0.008645533141,0.008492569002,0.1035701661,0.1174023316,95
.17 Aguila,rifle,1850,152,0.37,0.16,0.618,0.3376623377,0.0199880072,0.01056676273,0.006369426752,0.06963591375,0.09359941347,96
.32 Smith & Wesson Long,handgun,758,124,1.48,0.35,0.92,0.02251082251,0.01439136518,0.1171950048,0.04670912951,0.176387416,0.08811405893,97
.380 Auto (9mm Browning Sh,handgun,980,194,1.78,0.41,0.68,0.08658008658,0.02838297022,0.1460134486,0.05944798301,0.09155178508,0.08438386291,98
.22 Long Rifle High Veloci,rifle,1341,152,0.51,0.22,0.613,0.1907647908,0.0199880072,0.02401536984,0.01910828025,0.06786850477,0.06889168584,99
.32 Auto (7.65mm Browning),handgun,957,136,1.28,0.29,0.68,0.07994227994,0.01678992604,0.09798270893,0.03397027601,0.09155178508,0.06832295946,100
.32 Short Colt,handgun,745,99,1.2,0.27,0.65,0.01875901876,0.009394363382,0.09029779059,0.02972399151,0.08094733121,0.04995110592,101
.22 LR,rifle,1061,99,0.42,0.19,0.613,0.10995671,0.009394363382,0.0153698367,0.0127388535,0.06786850477,0.04878151864,102
.32 Smith & Wesson,handgun,680,88,1.16,0.27,0.605,0,0.00719568259,0.08645533141,0.02972399151,0.06504065041,0.04063106097,103
.25 Auto (ACP),handgun,814,68,0.74,0.17,0.615,0.03867243867,0.003198081151,0.04610951009,0.008492569002,0.06857546836,0.03766650512,104
.22 Long,rifle,898,52,0.26,0.14,0.613,0.06291486291,0,0,0.002123142251,0.06786850477,0.03347430958,105
.22 Short,rifle,896,52,0.26,0.13,0.421,0.06233766234,0,0,0,0,0.01246753247,106
